# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.525]
# Max mean shortest path [3.525]
# Range of value [2]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.70000    0.83000     0.83000        0.17000    0.90000
01.52500    0.90000     0.90000        0.10000    0.90000
01.77500    0.80000     0.80000        0.20000    0.90000
01.72500    0.82000     0.82000        0.18000    0.90000
02.12500    0.66000     0.66000        0.34000    0.90000
01.75000    0.81000     0.81000        0.19000    0.90000
02.02500    0.70000     0.70000        0.30000    0.90000
01.80000    0.79000     0.79000        0.21000    0.90000
02.05000    0.69000     0.69000        0.31000    0.90000
02.27500    0.60000     0.60000        0.40000    0.90000
01.97500    0.72000     0.72000        0.28000    0.90000
01.95000    0.73000     0.73000        0.27000    0.90000
02.27500    0.60000     0.60000        0.40000    0.90000
01.70000    0.83000     0.83000        0.17000    0.90000
02.12500    0.66000     0.66000        0.34000    0.90000
02.25000    0.61000     0.61000        0.39000    0.90000
01.87500    0.76000     0.76000        0.24000    0.90000
01.92500    0.74000     0.74000        0.26000    0.90000
02.75000    0.41000     0.41000        0.59000    0.90000
03.07500    0.28000     0.28000        0.72000    0.90000
02.35000    0.57000     0.57000        0.43000    0.90000
02.42500    0.54000     0.54000        0.46000    0.90000
02.55000    0.49000     0.49000        0.51000    0.90000
02.62500    0.46000     0.46000        0.54000    0.90000
02.20000    0.63000     0.63000        0.37000    0.90000
01.60000    0.87000     0.87000        0.13000    0.90000
03.17500    0.24000     0.24000        0.76000    0.90000
02.30000    0.59000     0.59000        0.41000    0.90000
02.62500    0.46000     0.46000        0.54000    0.90000
02.55000    0.49000     0.49000        0.51000    0.90000
03.52500    0.10000     0.10000        0.90000    0.90000
01.82500    0.78000     0.78000        0.22000    0.90000
02.55000    0.49000     0.49000        0.51000    0.90000
02.65000    0.45000     0.45000        0.55000    0.90000
03.37500    0.16000     0.16000        0.84000    0.90000
02.72500    0.42000     0.42000        0.58000    0.90000
02.25000    0.61000     0.61000        0.39000    0.90000
03.40000    0.15000     0.15000        0.85000    0.90000
01.87500    0.76000     0.76000        0.24000    0.90000
03.00000    0.31000     0.31000        0.69000    0.90000
