# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [2.02]
# Max mean shortest path [4.38]
# Range of value [2.36]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
02.34000    0.79153     0.79153        0.20847    0.90000
02.02000    0.90000     0.90000        0.10000    0.90000
02.14000    0.85932     0.85932        0.14068    0.90000
02.36000    0.78475     0.78475        0.21525    0.90000
02.48000    0.74407     0.74407        0.25593    0.90000
02.86000    0.61525     0.61525        0.38475    0.90000
02.36000    0.78475     0.78475        0.21525    0.90000
03.40000    0.43220     0.43220        0.56780    0.90000
02.90000    0.60169     0.60169        0.39831    0.90000
02.92000    0.59492     0.59492        0.40508    0.90000
02.36000    0.78475     0.78475        0.21525    0.90000
02.16000    0.85254     0.85254        0.14746    0.90000
02.36000    0.78475     0.78475        0.21525    0.90000
02.74000    0.65593     0.65593        0.34407    0.90000
02.48000    0.74407     0.74407        0.25593    0.90000
02.30000    0.80508     0.80508        0.19492    0.90000
02.96000    0.58136     0.58136        0.41864    0.90000
02.62000    0.69661     0.69661        0.30339    0.90000
02.66000    0.68305     0.68305        0.31695    0.90000
02.72000    0.66271     0.66271        0.33729    0.90000
03.02000    0.56102     0.56102        0.43898    0.90000
02.74000    0.65593     0.65593        0.34407    0.90000
03.50000    0.39831     0.39831        0.60169    0.90000
02.40000    0.77119     0.77119        0.22881    0.90000
02.36000    0.78475     0.78475        0.21525    0.90000
03.44000    0.41864     0.41864        0.58136    0.90000
02.68000    0.67627     0.67627        0.32373    0.90000
02.72000    0.66271     0.66271        0.33729    0.90000
03.16000    0.51356     0.51356        0.48644    0.90000
02.30000    0.80508     0.80508        0.19492    0.90000
02.24000    0.82542     0.82542        0.17458    0.90000
03.46000    0.41186     0.41186        0.58814    0.90000
03.12000    0.52712     0.52712        0.47288    0.90000
03.48000    0.40508     0.40508        0.59492    0.90000
02.48000    0.74407     0.74407        0.25593    0.90000
03.02000    0.56102     0.56102        0.43898    0.90000
02.72000    0.66271     0.66271        0.33729    0.90000
02.16000    0.85254     0.85254        0.14746    0.90000
02.18000    0.84576     0.84576        0.15424    0.90000
02.70000    0.66949     0.66949        0.33051    0.90000
03.16000    0.51356     0.51356        0.48644    0.90000
02.22000    0.83220     0.83220        0.16780    0.90000
03.24000    0.48644     0.48644        0.51356    0.90000
03.06000    0.54746     0.54746        0.45254    0.90000
03.84000    0.28305     0.28305        0.71695    0.90000
02.26000    0.81864     0.81864        0.18136    0.90000
02.42000    0.76441     0.76441        0.23559    0.90000
02.38000    0.77797     0.77797        0.22203    0.90000
02.58000    0.71017     0.71017        0.28983    0.90000
04.38000    0.10000     0.10000        0.90000    0.90000
