# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.2]
# Max mean shortest path [3]
# Range of value [1.8]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.63333    0.70741     0.70741        0.29259    0.90000
01.40000    0.81111     0.81111        0.18889    0.90000
02.00000    0.54444     0.54444        0.45556    0.90000
01.56667    0.73704     0.73704        0.26296    0.90000
01.76667    0.64815     0.64815        0.35185    0.90000
02.66667    0.24815     0.24815        0.75185    0.90000
01.40000    0.81111     0.81111        0.18889    0.90000
01.20000    0.90000     0.90000        0.10000    0.90000
02.06667    0.51481     0.51481        0.48519    0.90000
01.40000    0.81111     0.81111        0.18889    0.90000
01.40000    0.81111     0.81111        0.18889    0.90000
02.06667    0.51481     0.51481        0.48519    0.90000
01.36667    0.82593     0.82593        0.17407    0.90000
02.10000    0.50000     0.50000        0.50000    0.90000
01.73333    0.66296     0.66296        0.33704    0.90000
01.73333    0.66296     0.66296        0.33704    0.90000
02.76667    0.20370     0.20370        0.79630    0.90000
01.46667    0.78148     0.78148        0.21852    0.90000
01.50000    0.76667     0.76667        0.23333    0.90000
02.10000    0.50000     0.50000        0.50000    0.90000
01.83333    0.61852     0.61852        0.38148    0.90000
01.80000    0.63333     0.63333        0.36667    0.90000
02.13333    0.48519     0.48519        0.51481    0.90000
02.76667    0.20370     0.20370        0.79630    0.90000
02.06667    0.51481     0.51481        0.48519    0.90000
02.66667    0.24815     0.24815        0.75185    0.90000
03.00000    0.10000     0.10000        0.90000    0.90000
01.63333    0.70741     0.70741        0.29259    0.90000
02.66667    0.24815     0.24815        0.75185    0.90000
02.66667    0.24815     0.24815        0.75185    0.90000
