# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.64]
# Max mean shortest path [3.64]
# Range of value [2]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
02.14000    0.70000     0.70000        0.30000    0.90000
01.98000    0.76400     0.76400        0.23600    0.90000
01.64000    0.90000     0.90000        0.10000    0.90000
02.68000    0.48400     0.48400        0.51600    0.90000
02.00000    0.75600     0.75600        0.24400    0.90000
01.90000    0.79600     0.79600        0.20400    0.90000
02.22000    0.66800     0.66800        0.33200    0.90000
02.48000    0.56400     0.56400        0.43600    0.90000
02.30000    0.63600     0.63600        0.36400    0.90000
02.06000    0.73200     0.73200        0.26800    0.90000
02.60000    0.51600     0.51600        0.48400    0.90000
01.90000    0.79600     0.79600        0.20400    0.90000
02.20000    0.67600     0.67600        0.32400    0.90000
01.98000    0.76400     0.76400        0.23600    0.90000
01.94000    0.78000     0.78000        0.22000    0.90000
02.10000    0.71600     0.71600        0.28400    0.90000
02.66000    0.49200     0.49200        0.50800    0.90000
02.08000    0.72400     0.72400        0.27600    0.90000
02.52000    0.54800     0.54800        0.45200    0.90000
02.76000    0.45200     0.45200        0.54800    0.90000
02.22000    0.66800     0.66800        0.33200    0.90000
02.18000    0.68400     0.68400        0.31600    0.90000
02.16000    0.69200     0.69200        0.30800    0.90000
02.50000    0.55600     0.55600        0.44400    0.90000
02.68000    0.48400     0.48400        0.51600    0.90000
02.32000    0.62800     0.62800        0.37200    0.90000
02.20000    0.67600     0.67600        0.32400    0.90000
02.98000    0.36400     0.36400        0.63600    0.90000
02.68000    0.48400     0.48400        0.51600    0.90000
02.46000    0.57200     0.57200        0.42800    0.90000
01.76000    0.85200     0.85200        0.14800    0.90000
02.14000    0.70000     0.70000        0.30000    0.90000
03.16000    0.29200     0.29200        0.70800    0.90000
02.84000    0.42000     0.42000        0.58000    0.90000
02.66000    0.49200     0.49200        0.50800    0.90000
03.22000    0.26800     0.26800        0.73200    0.90000
03.56000    0.13200     0.13200        0.86800    0.90000
02.50000    0.55600     0.55600        0.44400    0.90000
03.20000    0.27600     0.27600        0.72400    0.90000
03.58000    0.12400     0.12400        0.87600    0.90000
02.28000    0.64400     0.64400        0.35600    0.90000
03.06000    0.33200     0.33200        0.66800    0.90000
01.80000    0.83600     0.83600        0.16400    0.90000
03.64000    0.10000     0.10000        0.90000    0.90000
02.62000    0.50800     0.50800        0.49200    0.90000
03.34000    0.22000     0.22000        0.78000    0.90000
02.72000    0.46800     0.46800        0.53200    0.90000
03.58000    0.12400     0.12400        0.87600    0.90000
01.84000    0.82000     0.82000        0.18000    0.90000
03.14000    0.30000     0.30000        0.70000    0.90000
