# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.5]
# Max mean shortest path [3.5]
# Range of value [2]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
02.35000    0.56000     0.56000        0.44000    0.90000
01.77500    0.79000     0.79000        0.21000    0.90000
01.65000    0.84000     0.84000        0.16000    0.90000
01.82500    0.77000     0.77000        0.23000    0.90000
01.95000    0.72000     0.72000        0.28000    0.90000
02.35000    0.56000     0.56000        0.44000    0.90000
01.65000    0.84000     0.84000        0.16000    0.90000
02.17500    0.63000     0.63000        0.37000    0.90000
02.47500    0.51000     0.51000        0.49000    0.90000
01.85000    0.76000     0.76000        0.24000    0.90000
02.97500    0.31000     0.31000        0.69000    0.90000
01.67500    0.83000     0.83000        0.17000    0.90000
01.90000    0.74000     0.74000        0.26000    0.90000
02.22500    0.61000     0.61000        0.39000    0.90000
01.90000    0.74000     0.74000        0.26000    0.90000
01.50000    0.90000     0.90000        0.10000    0.90000
02.50000    0.50000     0.50000        0.50000    0.90000
03.05000    0.28000     0.28000        0.72000    0.90000
01.80000    0.78000     0.78000        0.22000    0.90000
02.30000    0.58000     0.58000        0.42000    0.90000
03.50000    0.10000     0.10000        0.90000    0.90000
02.00000    0.70000     0.70000        0.30000    0.90000
02.72500    0.41000     0.41000        0.59000    0.90000
01.87500    0.75000     0.75000        0.25000    0.90000
02.32500    0.57000     0.57000        0.43000    0.90000
02.57500    0.47000     0.47000        0.53000    0.90000
02.12500    0.65000     0.65000        0.35000    0.90000
02.40000    0.54000     0.54000        0.46000    0.90000
02.20000    0.62000     0.62000        0.38000    0.90000
02.75000    0.40000     0.40000        0.60000    0.90000
02.00000    0.70000     0.70000        0.30000    0.90000
03.02500    0.29000     0.29000        0.71000    0.90000
01.67500    0.83000     0.83000        0.17000    0.90000
02.17500    0.63000     0.63000        0.37000    0.90000
01.90000    0.74000     0.74000        0.26000    0.90000
02.45000    0.52000     0.52000        0.48000    0.90000
02.57500    0.47000     0.47000        0.53000    0.90000
02.85000    0.36000     0.36000        0.64000    0.90000
02.40000    0.54000     0.54000        0.46000    0.90000
03.05000    0.28000     0.28000        0.72000    0.90000
