# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.6]
# Max mean shortest path [3.45]
# Range of value [1.85]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.92500    0.75946     0.75946        0.24054    0.90000
01.70000    0.85676     0.85676        0.14324    0.90000
01.67500    0.86757     0.86757        0.13243    0.90000
01.82500    0.80270     0.80270        0.19730    0.90000
02.30000    0.59730     0.59730        0.40270    0.90000
01.77500    0.82432     0.82432        0.17568    0.90000
01.67500    0.86757     0.86757        0.13243    0.90000
01.80000    0.81351     0.81351        0.18649    0.90000
02.05000    0.70541     0.70541        0.29459    0.90000
01.60000    0.90000     0.90000        0.10000    0.90000
01.85000    0.79189     0.79189        0.20811    0.90000
02.15000    0.66216     0.66216        0.33784    0.90000
01.67500    0.86757     0.86757        0.13243    0.90000
02.20000    0.64054     0.64054        0.35946    0.90000
02.42500    0.54324     0.54324        0.45676    0.90000
02.25000    0.61892     0.61892        0.38108    0.90000
03.25000    0.18649     0.18649        0.81351    0.90000
02.50000    0.51081     0.51081        0.48919    0.90000
02.67500    0.43514     0.43514        0.56486    0.90000
02.10000    0.68378     0.68378        0.31622    0.90000
02.65000    0.44595     0.44595        0.55405    0.90000
02.02500    0.71622     0.71622        0.28378    0.90000
02.77500    0.39189     0.39189        0.60811    0.90000
01.95000    0.74865     0.74865        0.25135    0.90000
01.95000    0.74865     0.74865        0.25135    0.90000
02.07500    0.69459     0.69459        0.30541    0.90000
02.67500    0.43514     0.43514        0.56486    0.90000
02.52500    0.50000     0.50000        0.50000    0.90000
03.02500    0.28378     0.28378        0.71622    0.90000
02.50000    0.51081     0.51081        0.48919    0.90000
02.17500    0.65135     0.65135        0.34865    0.90000
03.17500    0.21892     0.21892        0.78108    0.90000
02.17500    0.65135     0.65135        0.34865    0.90000
01.90000    0.77027     0.77027        0.22973    0.90000
03.45000    0.10000     0.10000        0.90000    0.90000
02.90000    0.33784     0.33784        0.66216    0.90000
02.27500    0.60811     0.60811        0.39189    0.90000
01.80000    0.81351     0.81351        0.18649    0.90000
02.12500    0.67297     0.67297        0.32703    0.90000
03.45000    0.10000     0.10000        0.90000    0.90000
